,assists,clean_sheets,creativity,goals_scored,influence,kickoff_time,opponent_team,full,team,total_points,round
213,0,1,1.3,0,5.6,2020-02-23 14:00:00,Watford,Aaron Wan-Bissaka,Man Utd,6,27
214,0,0,15.9,0,11.0,2020-03-01 14:00:00,Everton,Aaron Wan-Bissaka,Man Utd,2,28
215,0,1,10.9,0,33.4,2020-03-08 16:30:00,Man City,Aaron Wan-Bissaka,Man Utd,7,29
216,0,0,21.8,0,21.8,2020-06-19 19:15:00,Tottenham,Aaron Wan-Bissaka,Man Utd,2,30
217,1,1,19.8,0,28.2,2020-06-24 17:00:00,Sheffield United,Aaron Wan-Bissaka,Man Utd,11,31
218,1,1,27.7,0,34.0,2020-06-30 19:15:00,Brighton,Aaron Wan-Bissaka,Man Utd,10,32
219,0,0,3.6,0,18.8,2020-07-04 14:00:00,Bournemouth,Aaron Wan-Bissaka,Man Utd,1,33
220,0,1,3.2,0,2.6,2020-07-09 19:15:00,Aston Villa,Aaron Wan-Bissaka,Man Utd,5,34
221,0,0,2.4,0,10.4,2020-07-13 19:00:00,Southampton,Aaron Wan-Bissaka,Man Utd,0,35
222,0,1,5.7,0,21.2,2020-07-16 19:15:00,Crystal Palace,Aaron Wan-Bissaka,Man Utd,5,36
223,0,0,12.2,0,12.0,2020-07-22 17:00:00,West Ham,Aaron Wan-Bissaka,Man Utd,1,37
224,0,1,8.8,0,20.8,2020-07-26 15:00:00,Leicester,Aaron Wan-Bissaka,Man Utd,7,38
225,0,0,0.0,0,0.0,2020-01-11 15:00:00,Chelsea,Abd-Al-Ali Morakinyo Olaposi Koiki,Burnley,0,22
226,0,0,0.0,0,0.0,2020-01-19 14:00:00,Leicester,Abd-Al-Ali Morakinyo Olaposi Koiki,Burnley,0,23
227,0,0,0.0,0,0.0,2020-01-22 20:15:00,Man Utd,Abd-Al-Ali Morakinyo Olaposi Koiki,Burnley,0,24
228,0,0,0.0,0,0.0,2020-02-02 14:00:00,Arsenal,Abd-Al-Ali Morakinyo Olaposi Koiki,Burnley,0,25
229,0,0,0.0,0,0.0,2020-02-15 12:30:00,Southampton,Abd-Al-Ali Morakinyo Olaposi Koiki,Burnley,0,26
230,0,0,0.0,0,0.0,2020-02-22 15:00:00,Bournemouth,Abd-Al-Ali Morakinyo Olaposi Koiki,Burnley,0,27
231,0,0,0.0,0,0.0,2020-02-29 15:00:00,Newcastle United,Abd-Al-Ali Morakinyo Olaposi Koiki,Burnley,0,28
